id,label_en,label_fr,label_ar,category,category_fr,category_ar
off-comt-598756,Comté,Comté,جبن كونتي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cooking-cream-66b275,Cooking Cream,Crème de cuisson,كريمة طبخ,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-coulommiers-5d1c0a,Coulommiers,Coulommiers,جبن كولومييه,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cream-cheese-fffe3e,Cream Cheese,Fromage à la crème,جبنة كريمية,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-rafii-c-r-ales-8ca487,RAFII Cereals,RAFII Céréales,رافي حبوب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cream-cheese-spread-pasteurized-8440ac,Pasteurized Cream Cheese Spread,Tartinable fromage frais pasteurisé,جبنة كريمية قابلة للدهن مبسترة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-creams-for-cooking-and-whipping-050404,Cream for Cooking and Whipping,Crème cuisson et fouettée,كريمة للطبخ والخفق,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-crema-camembert-president-46714d,Président Camembert Cream,Crème camembert Président,كريمة كامامبير بريزيدون,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-crema-catalana-70a3fd,Crema Catalana,Crème catalane,كريما كاتالانا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-crema-de-queso-trufa-207107,Truffle Cheese Cream,Crème de fromage à la truffe,كريمة جبن بالكمأة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cremy-5315d6,Cremy,Cremy,كريمي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-crunch-38f3b7,Crunch Milk Chocolate Bar,Barre chocolat au lait Crunch,شوكولاتة كرنش بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-crunch-lait-tablette-854e33,Crunch Milk Chocolate Bar,Tablette Crunch lait,لوح شوكولاتة كرنش بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cr-me-coco-bio-eb9c6a,Organic Coconut Cream,Crème coco bio,كريمة جوز الهند عضوية,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cr-me-de-ch-vre-c441ab,Goat Cheese Cream,Crème de chèvre,كريمة جبن الماعز,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cr-me-l-g-re-fluide-15aca5,Light Pouring Cream,Crème légère fluide,كريمة خفيفة سائلة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cucina-all-italiana-15e861,Italian Cooking Cream,Cuisine à l’italienne,كريمة طبخ إيطالية,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-c-te-d-or-lait-noisettes-5c3d16,Côte d'Or Milk Chocolate Hazelnut,Côte d'Or lait noisettes,شوكولاتة كوت دور بالحليب والبندق,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-0-1-uht-sterilised-blueberry-2dd482,Blueberry Dairy Dessert 0.1% Fat,Dessert lacté myrtille 0,1%,حلوى ألبان بالتوت الأزرق 0.1٪,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-0-1-uht-sterilised-green-apple-3e4680,Green Apple Dairy Dessert 0.1% Fat,Dessert lacté pomme verte 0,1%,حلوى ألبان بالتفاح الأخضر 0.1٪,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-lben-eff12b,Lben,Lben,لبن,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-0-1-uht-sterilised-strawberry-36d1a8,Strawberry Dairy Dessert 0.1% Fat,Dessert lacté fraise 0,1%,حلوى ألبان بالفراولة 0.1٪,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-mon-grec-honey-256b44,Greek Style Dairy Dessert Honey,Dessert lacté style grec miel,حلوى ألبان على الطريقة اليونانية بالعسل,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-mon-grec-vanilla-530b33,Greek Style Dairy Dessert Vanilla,Dessert lacté style grec vanille,حلوى ألبان على الطريقة اليونانية بالفانيليا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-uht-sterilised-blueberries-3a39b9,Blueberry Dairy Dessert UHT,Dessert lacté myrtille stérilisé UHT,حلوى ألبان بالتوت الأزرق معقم UHT,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-uht-sterilised-mango-6bcb05,Mango Dairy Dessert UHT,Dessert lacté mangue stérilisé UHT,حلوى ألبان بالمانجو معقم UHT,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-uht-sterilised-mixed-berries-7211e7,Mixed Berries Dairy Dessert UHT,Dessert lacté fruits rouges stérilisé UHT,حلوى ألبان بتوت مشكل معقم UHT,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-uht-sterilised-strawberry-6d615c,Strawberry Dairy Dessert UHT,Dessert lacté fraise stérilisé UHT,حلوى ألبان بالفراولة معقم UHT,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-fruits-abricot-apricot-659f6a,Apricot Dairy Dessert,Dessert lacté abricot,حلوى ألبان بالمشمش,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-pudding-chocolate-uht-sterilised-67617f,Chocolate Dairy Pudding UHT,Crème dessert chocolat stérilisée UHT,بودينغ ألبان بالشوكولاتة معقم UHT,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-pudding-vanilla-flavour-uht-sterilised-0ff076,Vanilla Dairy Pudding UHT,Crème dessert vanille stérilisée UHT,بودينغ ألبان بالفانيليا معقم UHT,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dan-up-76d85a,DanUp Vanilla,DanUp vanille,دان أب فانيليا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-danette-chocolate-8e64c0,Danette Chocolate,Danette chocolat,دانيت شوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-danette-flan-vanille-027e1b,Danette Vanilla Flan,Danette flan vanille,دانيت فلان فانيليا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-danino-80b9e3,Danino,Danino,دانينو,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-danone-865d66,Danone,Danone,دانون,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-danone-le-nature-49f21b,Danone Plain Yogurt,Danone nature,دانون طبيعي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-danup-fraise-e72193,DanUp Strawberry,DanUp fraise,دان أب فراولة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-daya-fraise-113a27,Daya Strawberry,Daya fraise,دايا فراولة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dessert-gourmand-choco-c238d4,Gourmet Chocolate Dessert,Dessert gourmand chocolat,حلوى فاخرة بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dessert-gusto-vaniglia-con-panna-48a40d,Vanilla Cream Dessert,Dessert vanille à la crème,حلوى فانيليا بالكريمة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dessert-lacte-pech-passion-e52d3c,Peach Passion Dairy Dessert,Dessert lacté pêche passion,حلوى ألبان بالخوخ والباشن فروت,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dessert-lait-730963,Milk Dessert,Dessert au lait,حلوى بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dolca-chocolate-con-leche-5bd083,Dolca Milk Chocolate,Dolca chocolat au lait,شوكولاتة دولكا بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dost-c69ba5,Dost,Dost,دوست,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-double-z-ro-cerise-d44dbd,Double Zero Cherry,Double Zéro cerise,دابل زيرو كرز,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-mon-grec-honey-256b44,Greek Yogurt Dessert Honey,Dessert lacté type grec miel,حلوى زبادي يوناني بالعسل,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-mon-grec-vanilla-530b33,Greek Yogurt Dessert Vanilla,Dessert lacté type grec vanille,حلوى زبادي يوناني بالفانيليا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-uht-sterilised-blueberries-3a39b9,Blueberry Dairy Dessert,Dessert lacté myrtille UHT,حلوى ألبان بالتوت الأزرق,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-uht-sterilised-mango-6bcb05,Mango Dairy Dessert,Dessert lacté mangue UHT,حلوى ألبان بالمانجو,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-uht-sterilised-mixed-berries-7211e7,Mixed Berry Dairy Dessert,Dessert lacté fruits rouges UHT,حلوى ألبان بتوت مشكل,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-dessert-uht-sterilised-strawberry-6d615c,Strawberry Dairy Dessert,Dessert lacté fraise UHT,حلوى ألبان بالفراولة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-fruits-abricot-apricot-659f6a,Apricot Dairy Dessert,Dessert lacté abricot,حلوى ألبان بالمشمش,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-pudding-chocolate-uht-sterilised-67617f,Chocolate Pudding,Crème dessert chocolat,بودينغ بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dairy-pudding-vanilla-flavour-uht-sterilised-0ff076,Vanilla Pudding,Crème dessert vanille,بودينغ بالفانيليا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-dan-up-76d85a,DanUp Vanilla,DanUp vanille,دان أب فانيليا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
